"url";"reach_rank";"delta";"country";"country_rank";"populartity"
"http://www.collaborativeconsumption.com/directoryitem/121giving/www.121giving.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.123envoiture.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.3dhubs.com/";"30381";"-2898";"531";"Netherlands";"24259"
"http://www.collaborativeconsumption.com/directoryitem/3rd-home/www.3rdhome.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.40billion.com/";"233641";"+2769";"60082";"India";"234738"
"http://99gamers.com/";"127702";"+38012";"22168";"United States";"106798"
"http://www.9flats.com/";"61308";"+1684";"8096";"Germany";"52420"
"http://www.acitywithquirk.com.au/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.agoodexchange.net/";"N/A";"N/A";"N/A";"N/A";"N/A"
"https://www.asparetoshare.com/";"9209783";"+3641414";"N/A";"N/A";"9232034"
"http://www.aalizwel.com";"11437054";"+3905252";"N/A";"N/A";"12632714"
"http://bycykler.foundry.aarhuskommune.dk/";"809443";"+244047";"N/A";"N/A";"798518"
"http://www.actionhouse.org/";"10974521";"+562487";"N/A";"N/A";"12219499"
"http://www.adalbdal.com/";"680090";"+161162";"80827";"India";"581552"
"http://www.adoos.com";"72434";"+23815";"8539";"India";"72618"
"http://www.footprint-trust.co.uk/adoptgarden.html";"15800678";"-702176";"N/A";"N/A";"16629373"
"http://www.publishfreeclassifieds.com";"19303791";"+15532475";"N/A";"N/A";"18995336"
"http://www.afluenta.com";"201739";"-58013";"2012";"Argentina";"196211"
"http://www.agentanything.com/";"1043193";"-239976";"361821";"United States";"1002683"
"http://www.collaborativeconsumption.com/directoryitem/agora-food-beverages/www.myagora.co.uk";"306204";"+84369";"201147";"United States";"329791"
"http://www.airbnb.com/";"567";"+14";"226";"United States";"470"
"http://www.airrun.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"https://www.airtasker.com/";"49742";"-7270";"674";"Australia";"39894"
"http://www.algel.de";"3895038";"+1867336";"N/A";"N/A";"4427536"
"http://www.alkiloo.com/";"1941493";"+341215";"N/A";"N/A";"2016329"
"http://allegro.pl/";"289";"+9";"5";"Poland";"201"
"http://www.alterisinc.com/index.php";"22098080";"+9199253";"N/A";"N/A";"22233887"
"http://www.alternetrides.com";"5051220";"+581140";"N/A";"N/A";"4231989"
"http://www.amovens.com/en";"110298";"+15520";"1588";"Spain";"75372"
"http://ampleharvest.org/";"414557";"+19836";"191874";"United States";"502177"
"http://antengo.com/";"447100";"-20396";"58805";"United States";"362043"
"http://anyhire.com/";"3117123";"-6305441";"N/A";"N/A";"3627510"
"http://www.anyvan.com/";"78606";"-1221";"2769";"United Kingdom";"59807"
"http://www.appartager.com/";"60740";"-17319";"1969";"France";"46451"
"http://www.apprentus.com";"321175";"-83685";"2221";"Belgium";"175004"
"http://www.appsfunder.com/en";"1403245";"+805083";"N/A";"N/A";"1442391"
"http://arretminute.fr/";"12909461";"-1296027";"N/A";"N/A";"13921140"
"http://artsy.net/";"29994";"+1564";"10099";"United States";"27928"
"http://www.artsicle.com/";"878365";"+120370";"194976";"United States";"703931"
"http://www.asksunday.com";"328265";"-23394";"32588";"India";"250939"
"http://www.askfortask.com/";"31958";"-5268";"";"Canada";"30326"
"http://atelier-medias.org/";"2657360";"-7397632";"N/A";"N/A";"2396890"
"http://www.austintimeexchange.org/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.autodelen.be";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.paris.fr/autolib";"10046";"-290";"281";"France";"9526"
"http://www.autoshare.com";"433444";"+24411";"16594";"Canada";"405799"
"https://www.autourdetoi.com";"12691173";"N/A";"N/A";"N/A";"13747226"
"http://www.avego.com";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.collaborativeconsumption.com/directoryitem/awaynshare/www.awaynshare.com";"306204";"+84369";"201147";"United States";"329791"
"https://www.facebook.com/Ayoudo";"2";"+0";"2";"United States";"2"
"http://bcycle.com/";"323455";"+9696";"69142";"United States";"336045"
"http://www.b2b-en-trade.com/";"2242088";"-1127475";"N/A";"N/A";"2381255"
"http://babeldoor.com/";"2438999";"+688914";"N/A";"N/A";"2389918"
"http://www.babyloan.org/fr/accueil.html";"680489";"-63631";"36435";"France";"634330"
"http://www.babyplays.com";"5967342";"-355483";"866557";"United States";"5197382"
"https://backpackbang.com/home";"147449";"-304819";"480";"Bangladesh";"128240"
"http://backpackmojo.com/";"2625873";"-902257";"N/A";"N/A";"3145638"
"http://www.backseatsurfing.com/";"19749739";"-1042129";"N/A";"N/A";"20688304"
"http://www.bagborroworsteal.com/";"143451";"-5127";"33043";"United States";"111320"
"http://www.collaborativeconsumption.com/directoryitem/baghitch/www.baghitch.com";"306204";"+84369";"201147";"United States";"329791"
"https://www.balancedpayments.com/";"335122";"+153484";"156374";"United States";"353220"
"http://www.bambaram.in/bambaram/";"2445980";"-2385273";"N/A";"N/A";"2412131"
"http://www.tfl.gov.uk/roadusers/cycling/14808.aspx";"4675";"+691";"145";"United Kingdom";"4507"
"http://www.GoBarnacle.com";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://gobarnacle.com";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://barterbabesproject.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.Barterbrokers.com/";"14340445";"-8354335";"N/A";"N/A";"11927173"
"http://smartBarterusa.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.Barterquest.com/";"1551958";"-950742";"307453";"United States";"1456538"
"http://www.bartersugar.com/";"840748";"-501238";"N/A";"N/A";"844149"
"http://www.bartonandgray.com/";"8767334";"+2561581";"N/A";"N/A";"8197674"
"http://getbeagle.com/";"5222865";"+3401216";"N/A";"N/A";"6190859"
"http://www.bedandfed.co.uk/";"14493250";"+12376467";"N/A";"N/A";"15542812"
"http://fr.bedycasa.com/";"128064";"-29298";"14854";"France";"118676"
"https://www.beehive.ae/";"761339";"-543506";"126829";"India";"737531"
"http://www.beesfund.com/";"1747906";"-1554691";"28508";"Poland";"1988941"
"http://www.beneteaufractional.com";"6732746";"+2351423";"N/A";"N/A";"6055107"
"http://www.berkeleycoworking.com";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.berkeleypubliclibrary.org/";"207544";"+9374";"36640";"United States";"209532"
"http://www.betahaus.de/";"858608";"-178487";"78230";"Germany";"887402"
"http://beyondcroissant.com/";"10510014";"+4670213";"N/A";"N/A";"11750711"
"http://www.bicing.com/home/home.php";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.bienvenueamatable.com/";"7078120";"+4715313";"N/A";"N/A";"6991316"
"http://www.bigfish.uk.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
