"name";"url";"year";"location";"invest";"description"
"121Giving";"http://www.collaborativeconsumption.com/directoryitem/121giving/www.121giving.com";"2013";"Austin TX";"250K";"N/A"
"123envoiture";"http://www.123envoiture.com/";"2003";"Paris";"N/A";"N/A"
"3D Hubs";"http://www.3dhubs.com/";"2012";"Amsterdam";"N/A";"3D Hubs is a global network of local 3D printers. Our mission is to make 3D printing accessible to everyone and help people create a new kind of product that are personalised, on-demand and locally produced."
"3RD HOME";"http://www.collaborativeconsumption.com/directoryitem/3rd-home/www.3rdhome.com";"2010";"Nashville";"N/A";"N/A"
"40Billion";"http://www.40billion.com/";"2008";"Atlanta";"No";"N/A"
"99Gamers";"http://99gamers.com/";"2012";"N/A";"N/A";"N/A"
"9Flats";"http://www.9flats.com/";"2008";"Berlin";"Yes";"N/A"
"A City With Quirk";"http://www.acitywithquirk.com.au/";"N/A";"Melbourne";"N/A";"N/A"
"A Good Exchange";"http://www.agoodexchange.net/";"2012";"Durban";"N/A";"N/A"
"A Spare to Share";"https://www.asparetoshare.com/";"2012";"Chicago";"N/A";"N/A"
"Aalizwel.com";"http://www.aalizwel.com";"2014";"Bhilwara";"$5000";"Aalizwel.com is the India’s first online youth social marketplace where students, students of professional courses and pass-outs can buy, sell and exchange any goods or services. It is not only done with their friends or classmates but with the whole user group within their vicinity. This platform is created to give students and recently pass-out the opportunity to trade anything from essential books, bike, electronic items to small things like drafter, calculators. It is as easy as abc: upload or find, meet and sell or buy whatever you want."
"Aarhus Bycykler";"http://bycykler.foundry.aarhuskommune.dk/";"2003";"Copenhagen";"No";"N/A"
"Actionhouse";"http://www.actionhouse.org/";"2008";"Heidelberg";"No";"N/A"
"AdalBdal";"http://www.adalbdal.com/";"2014";"Bangalore";"None";"Global Barter Platform"
"Adoos";"http://www.adoos.com";"2003";"Madrid";"N/A";"N/A"
"Adopt-a-garden";"http://www.footprint-trust.co.uk/adoptgarden.html";"2008";"Isle of Wight";"No";"N/A"
"Adslist";"http://www.publishfreeclassifieds.com";"2015";"Brasov";"N/A";"ADsList is a general classifieds website where users can post ads or any kind of things that they do not need in a specific category for the purpose of selling or exchanging. Registered users have the ability to delete, edit, activate/deactive, renew ads and also making the ads premium so they will show in the top of the listings."
"Afluenta";"http://www.afluenta.com";"2012";"Buenos Aires";"N/A";"N/A"
"agentanything";"http://www.agentanything.com/";"2010";"New York";"N/A";"N/A"
"Agora Food & Beverages";"http://www.collaborativeconsumption.com/directoryitem/agora-food-beverages/www.myagora.co.uk";"2014";"London";"N/A";"Agora is a beverage company that is run through a direct democratic process by an online community. In other words, you are making all the decisions from what beverage to produce, how to package it, where to sell and even what to do with the profits!"
"Airbnb";"http://www.airbnb.com/";"2008";"San Fransisco";"Yes";"N/A"
"AirRun";"http://www.airrun.com/";"N/A";"Chicago";"N/A";"N/A"
"Airtasker";"https://www.airtasker.com/";"2012";"Sydney";"VC Backed";"Airtasker is a trusted community marketplace for people to outsource tasks, find local services or complete flexible jobs to earn money."
"ALGEL";"http://www.algel.de";"2013";"Darmstadt";"200.000 €";"c2c groceries shopping and delivery (SDD) service, located in germany. Founded in 2013 by engineer Mikail Yazici"
"Alkiloo";"http://www.alkiloo.com/";"2012";"Barcelona";"N/A";"N/A"
"Allegro";"http://allegro.pl/";"1999";"N/A";"N/A";"N/A"
"Alteris Renewables";"http://www.alterisinc.com/index.php";"1980";"Wilton";"No";"N/A"
"AlterNetRides";"http://www.alternetrides.com";"2002";"Pleasant Hill";"N/A";"N/A"
"Amovens";"http://www.amovens.com/en";"2009";"N/A";"N/A";"N/A"
"AmpleHarvest";"http://ampleharvest.org/";"2009";"N/A";"N/A";"N/A"
"Antengo";"http://antengo.com/";"2010";"San Diego";"N/A";"N/A"
"Ants";"N/A";"N/A";"N/A";"N/A";"N/A"
"Anyhire";"http://anyhire.com/";"2006";"Brisbane";"No";"N/A"
"AnyVan";"http://www.anyvan.com/";"2009";"London";"N/A";"ANYVAN.com helps you find the right man with a van for the right price."
"Appartager";"http://www.appartager.com/";"N/A";"N/A";"N/A";"N/A"
"Apprentus";"http://www.apprentus.com";"2012";"Paris";"N/A";"Apprentus is a community marketplace for private teachers. We connect people who love to learn with people who want to share and teach their knowledge face to face.
Join us to teach to the others and to learn something!"
"AppsFunder";"http://www.appsfunder.com/en";"N/A";"N/A";"N/A";"N/A"
"arretminute";"http://arretminute.fr/";"N/A";"Pomerol";"N/A";"N/A"
"Art.sy";"http://artsy.net/";"2010";"New York";"N/A";"N/A"
"Artsicle";"http://www.artsicle.com/";"2010";"New York";"N/A";"N/A"
"Ask Sunday";"http://www.asksunday.com";"2007";"New Jersey";"N/A";"N/A"
"Askfortask";"http://www.askfortask.com/";"2012";"Toronto";"N/A";"N/A"
"Atelier Medias";"http://atelier-medias.org/";"N/A";"Lyon";"N/A";"N/A"
"Austin Time Exchange";"http://www.austintimeexchange.org/";"2008";"Austin";"No";"N/A"
"Autodelen";"http://www.autodelen.be";"2000";"Bremen";"No";"N/A"
"autolib";"http://www.paris.fr/autolib";"N/A";"paris";"N/A";"N/A"
"Autoshare";"http://www.autoshare.com";"1998";"Toronto";"No";"N/A"
"Autour de Toi";"https://www.autourdetoi.com";"2014";"Maisons Laffittte";"5000€";"Autour de Toi is your platform for everything local and collaborative in and around Maisons-Laffitte in les Yvelines (78) close to Paris.
The web-site not only offers a local free, marketplace for neighbours to exchange (give, lend, sell) goods and services, to exchange news – and last but not least : help connecting people all ages within the community."
"Avego";"http://www.avego.com";"2009";"Dublin";"Yes";"N/A"
"awayNshare";"http://www.collaborativeconsumption.com/directoryitem/awaynshare/www.awaynshare.com";"2013";"Barcelona";"N/A";"Find those items you do not feel like travelling with.
awayNshare is a global community where travellers (Sharokee) find locals (Shariff) who can share with them, any item that, due to its special features, make it difficult for the traveller to carry."
"Ayoudo";"https://www.facebook.com/Ayoudo";"2011";"Vancouver";"N/A";"N/A"
"B-cycle";"http://bcycle.com/";"2009";"Waterloo";"No";"N/A"
"b2b en trade";"http://www.b2b-en-trade.com/";"N/A";"Paris";"N/A";"N/A"
