"name";"url";"category";"location";"description"
"Meteor";"http://meteor.com/";"technology &amp; data";"N/A";"N/A"
"pro-use produce";"http://prouseproduce.org/";"food &amp; drink";"N/A";"N/A"
"Publictransportation.org";"http://www.PublicTransportation.org/";"mobility";"N/A";"N/A"
"The Fortune Society";"http://fortunesociety.org/";"careers, jobs &amp; vocation";"N/A";"N/A"
"72andSunny";"http://www.72andsunny.com/";"marketing services";"N/A";"N/A"
"ADAM STREET";"http://www.adamstreet.co.uk/";"entertainment";"N/A";"N/A"
"Alliance for Biking &amp; Walking";"http://www.peoplepoweredmovement.org/site/index.php/site/openstreetsguidedownload/";"mobility";"N/A";"N/A"
"BrightFarms";"http://brightfarms.com/";"food &amp; drink";"N/A";"N/A"
"Cabot Creamery Cooperative";"http://www.cabotcheese.coop/pages/about_us/cooperative-programs.php";"farming &amp; gardening";"N/A";"N/A"
"Connected Bits";"http://connectedbits.com/";"government";"N/A";"N/A"
"Dos Pinos Housing Cooperative";"http://www.dospinoscoop.org/";"real estate";"N/A";"N/A"
"EverTrue";"http://www.evertrue.com/";"technology &amp; data";"N/A";"N/A"
"The Public Banking Institute (PBI)";"http://publicbankinginstitute.org/";"finance &amp; economics";"N/A";"N/A"
"The Thinking Moms' Revolution";"http://thinkingmomsrevolution.com/";"health &amp; fitness";"N/A";"N/A"
"Waymate";"http://www.waymate.de/";"travel";"N/A";"N/A"
"Obopay Money Transfer";"http://www2.obopay.com/promo/debitcard/index10Revolution_CJ.html";"finance &amp; economics";"N/A";"N/A"
"P.K. Das &amp; Associates";"http://www.pkdas.com/published/Open-Mumbai-data.pdf";"real estate";"N/A";"N/A"
"four40 Ventures Limited";"http://www.four40.net/";"business &amp; innovation";"London";"N/A"
"Made by Hand";"http://www.madebyhand-wales.co.uk/";"diy";"N/A";"Made by Hand/Gwnaed a Llaw, Nov 30-Dec 2 2012, is Wales' finest craft &amp; design festival at Tredegar House, Newport, South Wales."
"Somerset Crafts";"http://www.somersetcrafts.com/";"diy";"N/A";"A unique and exciting arts and crafts centre in the heart of the Somerset levels celebrating the work of Somerset’s most talented artist makers. We run courses, workshops demonstration days and a shop open 7 days a week."
"Astia";"http://www.astia.org/";"business &amp; innovation";"Silicon Valley";"The Astia method is designed for entrepreneurs by entrepreneurs who understand the value of extraordinary relationships and believe in giving back.Designed for high-growth companies at all stages, the Astia offering is implemented by more than 3,000 volunteer members of the Astia Advisor Network that includes more than 300 former and current CEOs and 300 investors. Astia is an extremely committed community of advisors, investors, industry leaders, and entrepreneurs."
"August Smart Lock";"http://www.august.com/";"business &amp; innovation";"N/A";"N/A"
"Biomimicry";"http://biomimicry.net/";"education";"N/A";"Education based on natures ecosystems."
"Box Play for Kids";"http://boxplayforkids.com/";"diy";"N/A";"Looking for things to do with a cardboard box? We make recycled, custom-designed children's stickers that (combined with a little imagination) turn any old box into a wonderland of possibilities. Yep. Recycling crafts for kids. Start ‘em young, we say."
"Cantine's Island Home Owners Association";"http://www.cantinesislandcohousing.org/our_story.htm";"business &amp; innovation";"Saugerties, New York";"N/A"
"Caroline Collective";"http://carolinecollective.cc/";"real estate";"N/A";"N/A"
"Cleanweb UK";"http://www.cleanweb.org.uk/";"technology &amp; data";"N/A";"N/A"
"Come Casero";"http://www.comecasero.com/";"food &amp; drink";"N/A";"N/A"
"Community Energy Scotland";"http://www.communityenergyscotland.org.uk/";"energy";"N/A";"Community Energy Scotland provides practical help for communities on green energy development."
"CONSUMERBELL";"http://www.consumerbell.com/";"business &amp; innovation";"350 Brannan Street 3rd Floor San Francisco, CA 94107";"Recalls are an inevitable consequence of doing business and thousands of high volume recalls happen each year. One recall could put your company at financial risk, and even have a detrimental effect on brand and consumer loyalty. Don't risk your company or its reputation, sign up now for instant access to ConsumerBell's product monitoring solutions."
"Crafty Wonderland";"http://craftywonderland.com/pop-up-shop/";"creativity, media &amp; the arts";"N/A";"N/A"
"crowdfunder";"http://crowdfunder.com";"finance &amp; economics";"N/A";"N/A"
"DataStax";"http://www.datastax.com/";"technology &amp; data";"N/A";"N/A"
"Digital Unite";"http://digitalunite.com/";"technology &amp; data";"United Kingdom";"We are passionate about supporting people to realise the benefits of using technology. Everything we do is geared towards achieving that, whether it’s through giving individual learners access to great online content and support, or working with those who then inspire and teach others to use technology.We don’t believe that people have to use technology. But we would like everyone to have the opportunity to, and we would also like everyone to have accurate, easy to understand information and about what they might find useful and why."
"Dogs Trust";"http://www.dogstrust.org.uk/";"health &amp; fitness";"N/A";"N/A"
"Emphas.is";"http://www.emphas.is/web/guest;jsessionid=0CDE72502FB878882592962EFAB942C7";"finance &amp; economics";"N/A";"N/A"
"Fancy Hands";"http://www.fancyhands.com/";"careers, jobs &amp; vocation";"N/A";"N/A"
"Focus Property Management";"http://www.focuspropertymanagement.com.au/about-us";"real estate";"N/A";"To get the best solutions for your investment property in Sydney, hire the expert property managers of Focus Property Management. Our services are guaranteed."
"Garage Sale Trail";"http://www.garagesaletrail.com.au/";"business &amp; innovation";"Australia";"By organising communities around Australia to hold sales on the same day we aim to reduce waste to landfill, enable community connections, provide a platform for fundraising, inspire creativity and stimulate local economies.Garage Sale Trail enables community connections and the exchange of assets on a very local level, but with national scale. It is a platform for anyone wanting to make some money, raise money for a cause and connect with their community. That’s makers &amp; creators, local businesses, households, cultural institutions, schools, charities and community groups."
"GogoBot";"http://www.gogobot.com/";"travel";"N/A";"N/A"
"Google Science Fair";"http://www.google.com/events/sciencefair/";"technology &amp; data";"N/A";"N/A"
"Green Sports Alliance";"http://greensportsalliance.org/";"health &amp; fitness";"N/A";"N/A"
"Health Data Consortium";"http://www.healthdataconsortium.org/";"health &amp; fitness";"N/A";"N/A"
"iCAABS Consulting";"http://icaabs.com/";"marketing services";"N/A";"N/A"
"IndyHall";"http://indyhall.org/";"real estate";"N/A";"N/A"
"INISMO - Investing is More";"https://inismo.com/";"finance &amp; economics";"N/A";"N/A"
"International Democratic Education Conference, IDEC 2013";"http://www.idec2013.org/about/";"education";"N/A";"N/A"
"Iowa Community Foundations";"http://www.iowacommunityfoundations.org/";"business &amp; innovation";"N/A";"N/A"
"Japanese Consumers' Co-operative Union (JCCU)";"http://jccu.coop/eng/";"business &amp; innovation";"CO-OP PLAZA 3-29-8, SHIBUYA, SHIBUYA-KU, TOKYO, 150-8913";"The Japanese Consumer Co-operative is an organization organized by consumers becoming cooperative members through the payment of subscription, which is used to engage in business operations necessary for the betterment of the daily lives of the members. The main operation of the co-operative is to supply foods and other daily necessities through store operation and home delivery service to its members. It is also engaged in other operations, such as mutual-aid insurance, social welfare and medical services.At present, co-operative membership stands at over 26 million nationwide, and the total business turnover of co-operative operations have exceeded 3 trillion JPY."
"Jayride";"http://www.jayride.com.au/";"mobility";"N/A";"N/A"
"jovoto";"http://www.jovoto.com/";"marketing services";"N/A";"N/A"
"Landmark Trust";"http://www.landmarktrust.org.uk/";"real estate";"N/A";"N/A"
"Lawrence Hall of Science";"http://www.lawrencehallofscience.org/";"education";"N/A";"N/A"
"Level39";"http://www.level39.co/";"real estate";"N/A";"N/A"
"Lisbon Challenge";"http://www.lisbon-challenge.com/event/info";"business &amp; innovation";"N/A";"N/A"
"LoadMax";"http://www.loadmax.com.au/";"travel";"N/A";"LoadMax is about connecting people who need to move goods with transport companies already going in that direction."
"Makkie";"http://www.makkie.cc/";"real estate";"N/A";"N/A"
"Marion Institute";"http://www.marioninstitute.org/";"business &amp; innovation";"N/A";"N/A"
"Meetings.io";"http://meetings.io/";"technology &amp; data";"N/A";"N/A"
"Mill City Farmers Market";"http://spoonriver.com/mill-city-farmers-market/farmers-market/";"farming &amp; gardening";"N/A";"N/A"
"MISC (Computerized Master Media &amp; Communication Strategies) CELSA (Sorbonne)";"http://www.celsa-misc.fr/";"creativity, media &amp; the arts";"N/A";"N/A"
"Near Future Laboratory";"http://nearfuturelaboratory.com/";"real estate";"N/A";"N/A"
"NerdWallet";"http://www.nerdwallet.com/";"finance &amp; economics";"N/A";"N/A"
"New Economics Institute";"http://neweconomicsinstitute.org/";"finance &amp; economics";"N/A";"N/A"
"Numbers4Good";"http://www.numbers4good.com/";"finance &amp; economics";"N/A";"N/A"
"Oasis Collections";"http://oasiscollections.com/the-clubhouse-chef-series-diego-felix";"entertainment";"N/A";"N/A"
"Pacific Rod &amp; Gun Club";"http://prgc.net/";"entertainment";"N/A";"N/A"
"Palo Alto Medical Foundation";"http://www.pamf.org/";"health &amp; fitness";"N/A";"N/A"
"PiggyBee";"http://www.piggybee.com/";"travel";"N/A";"N/A"
"PRESELLA";"http://presella.com/";"entertainment";"N/A";"N/A"
"Pretachanger";"http://www.pretatroquer.fr/";"fashion &amp; clothing";"N/A";"N/A"
"Project 100";"http://goproject100.com/";"mobility";"N/A";"N/A"
"recovers.org";"https://recovers.org/communities";"business &amp; innovation";"N/A";"N/A"
"redBus";"http://www.redbus.in/";"travel";"N/A";"N/A"
"SAILORS FOR THE SEA";"http://sailorsforthesea.org";"education";"N/A";"Sailors for the Sea educates and engages the boating community in the worldwide protection of the oceans"
"San Francisco Grants for the Arts";"http://www.sfgfta.org/";"finance &amp; economics";"N/A";"N/A"
"Share Practice";"http://sharepractice.com/";"business &amp; innovation";"N/A";"N/A"
"Simplisafe";"http://simplisafe.com/";"real estate";"N/A";"N/A"
"Start-UP Brazil";"http://startupbrasil.mcti.gov.br/en/application/";"business &amp; innovation";"N/A";"N/A"
"Start-Up Initiative";"http://www.startupinitiative.com/en/news-events/Events/fashion_design.html";"business &amp; innovation";"N/A";"N/A"
"Startup Iowa";"http://www.startupia.org/";"business &amp; innovation";"N/A";"N/A"
"StreetSmart Technology";"http://streetsmarttechnology.com/";"technology &amp; data";"N/A";"N/A"
"StudentsFirst";"http://actioncenter.studentsfirst.org/";"education";"N/A";"N/A"
"SuperBrugsen";"http://superbrugsen.dk/";"food &amp; drink";"N/A";"N/A"
"Taxi Rank";"http://www.taxirank.co.za/";"mobility";"N/A";"N/A"
"The Markle Foundation";"http://www.markle.org/";"health &amp; fitness";"N/A";"N/A"
"The Pow Wow Labs";"http://powwowlabs.net/";"business &amp; innovation";"N/A";"N/A"
"Thomson Reuters Foundation";"http://www.trust.org/";"business &amp; innovation";"30 South Colonnade, Canary Wharf London, E14 5EP, United Kingdom";"We don’t give grants. Instead we use our unique set of skills to run programmes that trigger change and empower people: free legal assistance, media development and in-depth coverage of the world’s under-reported stories.We stand for human rights, women's empowerment, better governance, greater transparency, and for the rule of law. We strive to provide concrete solutions. We achieve real impact."
"Throwing Boulders LLC";"http://throwingboulders.com/";"technology &amp; data";"N/A";"N/A"
"TOREX SEMICONDUCTOR LTD.";"http://www.torex.co.jp/english/?gclid=CNqEucWUjbACFYcZQgoddy8mpQ";"marketing services";"N/A";"N/A"
"Trees for Cities";"http://www.treesforcities.org/";"diy";"N/A";"We plant trees in parts of cities that need it most. We grow stronger neighbourhoods, enhance urban landscapes and improve health and happiness."
"United States Federation of Worker Cooperatives";"http://www.usworker.coop/front";"business &amp; innovation";"PO Box 170701 San Francisco, CA 94117-0701";"The United States Federation of Worker Cooperatives is a national grassroots membership organization of and for worker cooperatives, democratic workplaces, and organizations that support the growth and development of worker cooperatives. We were founded in 2004, the result of several years of organizing on the part of worker cooperatives and regional groups from around the country. We provide support to our members and educational outreach to the public through conferences and events, resource referrals, and networking and training opportunities. Check out the various sections of our site to connect to resources and see what's happening in the dynamic and growing world of worker cooperatives!"
"UpCounsel";"https://www.upcounsel.com/";"careers, jobs &amp; vocation";"N/A";"N/A"
"Urban Bee Company";"http://www.urbanbee.com/";"farming &amp; gardening";"N/A";"N/A"
"Veggielution Community Farm";"http://www.veggielution.org/";"food &amp; drink";"N/A";"N/A"
"Willy Street Co-op";"http://www.willystreet.coop/";"food &amp; drink";"N/A";"N/A"
"ZAOZAO";"https://www.shopzaozao.com/home";"fashion &amp; clothing";"N/A";"N/A"
"#ScienceChat";"http://www.strikingly.com/sciencechat";"natural resources &amp; environment";"N/A";"N/A"
"#VTResponse";"http://vtresponse.wordpress.com/";"government";"Vermont, united_states";"As a result of Tropical Storm Irene, Vermont has experienced the worst natural disaster since 1927. Across the state of Vermont, there has been a huge outpouring of support from community members looking to volunteer throughout the state. Sarah Waterman and the Reality Venture Capital team has taken on the challenge of bridging the communication gap between volunteers and those in need."
"'smove - all electric' by Clean Mobility Singapore";"http://www.smove.sg";"mobility";"Singapore, 1 Ayer Rajah Avenue";"Clean Mobility Singapore is a developer &amp; operator of a platform for sustainable, individual mobility services e.g. vehicle sharing (electric cars, scooters, and bikes) and other means of clean transportation.We develop solutions to sell mobility as a service, offering mobility-on-demand (MOD) to cover the first/ last mile to and from public transportation. The service can be used in addition to the public transportation network or as a stand- alone system."
"1 band, 1 brand";"http://www.1band1brand.com/";"fashion &amp; clothing";"N/A";"N/A"
"1 Buena Idea";"http://1buenaidea.com";"business &amp; innovation";"Corrientes 350 , Rafaela 2300, Santa Fe";"Sitio de ideas, ideas de negocios e innovacion."
"1,000 New Gardens Montana";"http://www.1000newgardens.ning.com";"farming &amp; gardening";"Bozeman, Montana, United States";"1KNG is a network of household organic vegetable gardeners committed to sharing resources, techniques and information throughout communities."
"1-800-Recycling";"http://1800recycling.com/";"upcycling &amp; recycling";"N/A";"1-800-RECYCLING.com is a dynamic recycling and green living-focused website that makes recycling, conserving, reusing and living wisely easy."
"10 Carden";"http://www.10carden.ca/";"real estate";".O. Box 1061, Guelph ON N1H 6N1";"10 Carden is an operational shared office/meeting space/collaboration centre, offering citizens, professionals and researchers working within Guelph with a place to gather/work and exchange ideas. We have two part-time Community Collaborateur’s  facilitating workshops, supporting member organizations, and animating the space."
"10 Carden";"http://www.10carden.ca/";"business &amp; innovation";"N/A";"N/A"
"10,000 Ideas";"http://10.000ideas.com/";"business &amp; innovation";"N/A";"10000ideas es un lugar que deja de lado las burocracias y permite una conversación entre gobierno-ciudadano. Como hacer nuestra ciudad un lugar mejor para vivir"
"100 Cars for Good, Toyota";"https://apps.facebook.com/carsforgood/";"mobility";"N/A";"N/A"
"100 Days";"http://www.100-days.net/";"creativity, media &amp; the arts";"N/A";"N/A"
"100 Mile House Open Ideas Competition";"http://100mh.architecturefoundationbc.ca/";"business &amp; innovation";"British Columbia, Canada";"This competition will challenge all participants to rethink the way we live and select materials, systems and technology that reflect this reality in the world of computers, the internet, Facebook, etc…  Participants are encouraged to challenge the logic of the present, formulate new questions, and explore variations that will allow new potentials for living."
"100% Open";"http://www.100open.com";"creativity, media &amp; the arts";"Camden WC1E 7EB, London, United Kingdom";"100%Open is a new open innovation agency spun out of NESTA, the UKâ€™s National Endowment for Science, Technology and the Arts. We offer the bespoke services of strategic planning, programme design and delivery, training and venturing.  We combine business acumen with extensive hands-on experience of implementing successful open innovation, together with a yen for connecting brands with new people and fresh opportunities."
"1000 Tools";"http://1000tools.com";"home improvement";"330 E Liberty, Ann Arbor, Mi 48103";"1000 Tools is an online marketplace for peer to peer tool rental.  It's focus is on tools and specialty equipment."
"1000 tools";"http://www.100-days.net/";"diy";"N/A";"N/A"
"100000 Entrepreneurs";"http://100000entrepreneurs.com";"business &amp; innovation";"4, rue de la Michodière";"100 000 entrepreneurs est une association d'intérêt général, fondée et dirigée par Philippe Hayat en 2007. Elle a été initiée au sein du Club Horizons, co-fondateur de l'association."
"100000 Entrepreneurs";"http://100000entrepreneurs.com/";"careers, jobs &amp; vocation";"N/A";"N/A"
"1000memories";"http://1000memories.com";"technology &amp; data";"N/A";"1000memories is the best way to organize, share and discover the old photos and memories of your family and friends."
"100kGarages";"http://www.100kgarages.com";"diy";"N/A";"100Kgarages is a community of workshops with digital fabrication tools for precisely cutting, machining, drilling, or sculpting the parts for your project or product, in all kinds of materials, in a shop or garage near you."
"101 Cookbooks";"http://www.kiva.org/team/101_cookbooks";"food &amp; drink";"San Francisco, California, United States";"101 Cookbooks is a food blog focusing on natural, whole foods and ingredients. The author recently created a 101 Cookbooks Kiva Lending Team through which readers of the recipe journal can participate in micro lending."
"106 Miles";"http://www.meetup.com/106miles/";"business &amp; innovation";"Palo Alto, CA";"106 Miles is a group of entrepreneurial engineers working in Silicon Valley and SoCal. We like to build kick-ass products and chew gum."
"106 miles";"http://www.meetup.com/106miles/";"careers, jobs &amp; vocation";"N/A";"N/A"
"10ants";"http://www.10ants.com/";"real estate";"N/A";"N/A"
"10Edge";"http://10edge.com";"marketing services";"N/A";"10Edge specializes in Internet marketing strategy, online advertising, web marketing and conversion. Our company uses the most innovative and creative techniques for Internet Visibility. We consistently develop and test new ways to enhance our customers reach online. Marketing Consulting Experts uses SEO, PPC, SEM, Web 2.0, Video Internet Marketing, Social Networking and Bookmarking, Landing Pages and Internet Legacy Building as tools to increase a company's web presence and revenue."
"10gen";"http://www.10gen.com/";"N/A";"3rd Floor";"N/A"
"10sheet";"https://10sheet.com/";"finance &amp; economics";"N/A";"N/A"
"10x10";"http://10x10act.org/";"education";"125 West End Avenue, New York, New York 10023";"10x10 is a feature film and a social action campaign, created and launched by an award-winning team of former ABC News journalists in association with The Documentary Group and Paul Allen's Vulcan Productions. We use the power of storytelling and the leverage of strategic partnerships to deliver a single message: educating girls in developing nations will change the world."
"123D design challenge: instrucables. autodesk";"http://www.instructables.com/contest/123ddesignchallenge";"diy";"N/A";"N/A"
"123envoiture";"http://www.123envoiture.com/";"mobility";"N/A";"N/A"
"123P";"http://123p.gr/";"real estate";"Piraeus 123 K. Petralona, ??118 54";"In an outstanding building architecture and aesthetics, that turned into a specially designed loft in the center of Athens, the alternative proposal that came to offer inspiration to many different solutions to your business needs. The 123p is the ideal choice for those who need the luxury and amenities of a fully equipped office with no long-term commitments and financial risks. The flexible structure of space and the modern aesthetic, enables members of 123p to work, learn, communicate and create, redefining the relationship between space, Chronicle, result."
"12designer";"http://www.12designer.com/en/";"careers, jobs &amp; vocation";"Schlesische Straße 29-30    , Berlin 10997, germany";"12designer.com is a crowdsourcing portal for creative tasks: naming, slogans, logos, flyers, websites, audio and video clips, among other possibilities."
"140 Conference";"http://140conf.com/";"business &amp; innovation";"N/A";"N/A"
"141 Eyewear";"http://141eyewear.com";"N/A";"Portland, Oregon, United States";"For each new pair of 141 Eyewear purchased, we give a new pair of glasses to a person in need. No portions of proceeds. No percentages. One for one."
"1419";"http://1419art.weebly.com";"creativity, media &amp; the arts";"1419 Washington Ave S  , Minneapolis 55454, Minnesota, United States";"1419 is a student-run interdisciplinary art space and residency devoted to the creation and exhibition of experimental projects."
"15gifts";"http://www.15gifts.com";"technology &amp; data";"Brighton";"15gifts.com is the first intelligent gift recommendation engine which learns from the input of the people who use the site.Each time a search is carried out on the site the engine learns from the user's input, resulting in 15 gift ideas that are tailored specifically to the personality of the person you looking to purchase a gift for.15gifts is currently partnered with over 75 high-quality, UK based retailers enabling the site engine to provide many hard-to-find and unique gift suggestions."
"18 Reasons";"http://www.18reasons.org";"food &amp; drink";"593 Guerrero Street , San Francisco 94110, California, United States";"18 Reasons brings people together to deepen our relationship to food and each other. Through an innovative community center and thought provoking, fun programming, we inspire action and foster collaboration toward creating a just and sustainable food system."
"1800Accountant";"http://www.1800accountant.com/";"finance &amp; economics";"united_states";"1800Accountant is a free on-line resource for businesses and individuals in need of accounting, tax and related financial services."
"1871 Chicago";"http://www.1871.com/";"business &amp; innovation";"222 W. Merchandise Mart Plaza, 12th Floor Chicago, Illinois 60654";"N/A"
